GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
httpunit,com.meterware.httpunit.controls,SelectionFormControl.Scriptable,11,110,3,15,2,23,3,11,0,5
httpunit,com.meterware.httpunit.controls,SelectionFormControl.Options,11,456,7,47,5,79,7,38,0,18
httpunit,com.meterware.httpunit.controls,SelectionFormControl.Option,3,89,0,4,1,33,1,15,1,13
httpunit,com.meterware.httpunit.controls,IllegalParameterValueException,0,84,0,6,0,21,0,7,0,4
httpunit,com.meterware.httpunit.controls,SelectionFormControl.MultiSelectOptions,0,52,0,6,0,14,0,7,0,4
httpunit,com.meterware.httpunit.controls,SelectionFormControl.SingleSelectOptions,5,92,1,13,2,20,1,10,0,4
httpunit,com.meterware.httpunit.controls,SelectionFormControl,17,113,4,16,5,24,4,17,1,10
httpunit,com.meterware.httpunit,ParsedHTML.FormControlFactory,3,51,3,9,1,9,3,7,0,4
httpunit,com.meterware.httpunit,HttpUnitOptions.new ScriptingEngineFactory() {...},12,7,0,0,7,4,7,4,7,4
httpunit,com.meterware.httpunit,WebFrame,0,57,0,2,0,13,0,8,0,7
httpunit,com.meterware.httpunit,ParameterHolder,5,3,0,0,3,1,3,1,3,1
httpunit,com.meterware.httpunit,FormControl,44,345,2,44,17,79,15,48,13,27
httpunit,com.meterware.httpunit,Button.Scriptable,0,11,0,0,0,3,0,2,0,2
httpunit,com.meterware.httpunit,ParsedHTML.WebIFrameFactory,0,12,0,0,0,4,0,4,0,4
httpunit,com.meterware.httpunit,ScriptException,0,4,0,0,0,2,0,1,0,1
httpunit,com.meterware.httpunit,AppletStubImpl,7,17,0,0,4,5,4,3,4,3
httpunit,com.meterware.httpunit,TextBlock,21,37,2,2,6,10,5,4,3,4
httpunit,com.meterware.httpunit,TableRow,9,32,0,0,2,8,2,4,2,4
httpunit,com.meterware.httpunit,FormParameter.IllegalCheckboxParameterException,24,9,0,0,4,4,1,1,1,1
httpunit,com.meterware.httpunit,PresetFormParameter,30,21,4,0,9,7,7,3,5,3
httpunit,com.meterware.httpunit,WebLink.Scriptable,9,48,1,5,3,11,1,7,0,5
httpunit,com.meterware.httpunit,TableCell,3,20,0,0,1,5,1,3,1,3
